tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
135.0,-2.315491522895049e-09,-2.857004945989064e-07,2.2116357660823284e-08,-7.089302522063863e-07,,,,
136.0,-3.7086691295873256e-09,-4.420090109870054e-07,1.865936066308541e-08,-1.016012266631269e-06,-3.7086691295873256e-09,-4.420090109870054e-07,1.865936066308541e-08,-1.016012266631269e-06
137.0,-6.193902364764813e-09,-3.235329630247382e-07,1.2946745332593259e-08,-2.0068620872308586e-07,,,,
138.0,-7.8272410579037e-09,-2.1496501954251802e-07,1.1933591844855134e-08,2.4801495855703634e-07,-7.8272410579037e-09,-2.1496501954251802e-07,1.1933591844855134e-08,2.4801495855703634e-07
139.0,-8.839170830283956e-09,-3.7309744293611277e-07,1.3101101428942979e-08,-7.852281123443361e-07,,,,
140.0,-1.0666872601506841e-08,-5.210822547597841e-07,9.254484844139703e-09,-1.1052977203572256e-06,-1.0666872601506841e-08,-5.210822547597841e-07,9.254484844139703e-09,-1.1052977203572256e-06
141.0,-1.311750993959621e-08,-1.790586724745101e-07,4.056296192597218e-09,-2.729472018056226e-07,,,,
142.0,-1.4002993930653432e-08,-5.441985764992942e-08,2.7065130502188494e-09,-2.7664689693141976e-08,-1.4002993930653432e-08,-5.441985764992942e-08,2.7065130502188494e-09,-2.7664689693141976e-08
143.0,-1.431798020264282e-08,-8.187096677540801e-08,2.546387723757299e-09,7.521154959957752e-08,,,,
144.0,-1.4739033742712063e-08,-1.0887008799108006e-07,2.933192600507672e-09,4.990240545149987e-07,-1.4739033742712063e-08,-1.0887008799108006e-07,2.933192600507672e-09,4.990240545149987e-07
145.0,-1.524996226319738e-08,-2.9234391643139526e-07,5.275117977483774e-09,-6.827064222489906e-07,,,,
146.0,-1.668859661573424e-08,-4.843244327877704e-07,1.915496461380087e-09,-1.1504511920714623e-06,-1.668859661573424e-08,-4.843244327877704e-07,1.915496461380087e-09,-1.1504511920714623e-06
147.0,-1.8843256730657904e-08,-2.2359508214488307e-07,-3.2026250495554944e-09,-3.414437167126728e-07,,,,
148.0,-1.9969289390190407e-08,-6.046194897325183e-08,-4.922147557485719e-09,-3.280507042506061e-07,-1.9969289390190407e-08,-6.046194897325183e-08,-4.922147557485719e-09,-3.280507042506061e-07
149.0,-2.0301682824211246e-08,6.800037241671377e-09,-6.725627299216403e-09,5.853597125922757e-07,,,,
150.0,-2.0268668432600003e-08,7.335112206399998e-08,-3.883687748276989e-09,5.087302198809244e-07,-2.0268668432600003e-08,7.335112206399998e-08,-3.883687748276989e-09,5.087302198809244e-07
151.0,-1.9870179879889603e-08,-6.556461343994841e-08,-1.1199513072241215e-09,-4.6374619721943646e-07,,,,
152.0,-2.0205824805468338e-08,-2.0190101934361e-07,-3.4940072146185077e-09,1.5577440275220671e-07,-2.0205824805468338e-08,-2.0190101934361e-07,-3.4940072146185077e-09,1.5577440275220671e-07
153.0,-2.1119582179858515e-08,-2.033080974921826e-07,-2.789008251667213e-09,-3.579833159279712e-07,,,,
154.0,-2.2108102541954256e-08,-3.172480305664086e-07,-4.529587212615676e-09,-1.0080069063701508e-06,-2.2108102541954256e-08,-3.172480305664086e-07,-4.529587212615676e-09,-1.0080069063701508e-06
155.0,-2.380675033426928e-08,-1.433548645581395e-07,-9.926779759680308e-09,9.718200264629539e-08,,,,
156.0,-2.4502997817370446e-08,1.9695518703273108e-08,-9.454785140217831e-09,4.6347421467106746e-07,-2.4502997817370446e-08,1.9695518703273108e-08,-9.454785140217831e-09,4.6347421467106746e-07
157.0,-2.440945507393309e-08,-1.0387840827187084e-07,-7.253540775650689e-09,-3.294350938886319e-07,,,,
158.0,-2.4944921987361528e-08,-1.9987853917684884e-07,-8.951695337644699e-09,-3.6320173871737944e-07,-2.4944921987361528e-08,-1.9987853917684884e-07,-8.951695337644699e-09,-3.6320173871737944e-07
159.0,-2.5877658788202914e-08,-1.7916981518612781e-07,-1.0646582788925991e-08,-1.5271496730479974e-08,,,,
160.0,-2.676622514869711e-08,-1.5140032796843518e-07,-1.0722319532054318e-08,-4.4854714536808134e-07,-2.676622514869711e-08,-1.5140032796843518e-07,-1.0722319532054318e-08,-4.4854714536808134e-07
161.0,-2.7651591556608716e-08,-7.195151352793416e-08,-1.3345355956099181e-08,1.644018798567814e-07,,,,
162.0,-2.8009961755153207e-08,-3.3897787488710997e-09,-1.2526516553888574e-08,6.613199347913854e-07,-2.8009961755153207e-08,-3.3897787488710997e-09,-1.2526516553888574e-08,6.613199347913854e-07
163.0,-2.80258936474779e-08,-1.8593211587993046e-07,-9.418326086656273e-09,-6.945737157895814e-07,,,,
164.0,-2.90067703438197e-08,-3.8965938808162127e-07,-1.3082519163174003e-08,-8.663558643927488e-07,-2.90067703438197e-08,-3.8965938808162127e-07,-1.3082519163174003e-08,-8.663558643927488e-07
165.0,-3.087751805222156e-08,-2.9157014248876654e-07,-1.7241878073920314e-08,-4.092712130014498e-08,,,,
166.0,-3.2343219582330136e-08,-1.8422441520625892e-07,-1.7447615684090303e-08,-4.6749092541756536e-07,-3.2343219582330136e-08,-1.8422441520625892e-07,-1.7447615684090303e-08,-4.6749092541756536e-07
167.0,-3.3226112881517014e-08,-1.1933428115117877e-07,-1.9688060334272682e-08,-3.8078978508852945e-08,,,,
168.0,-3.382104618346561e-08,-4.977713249915365e-08,-1.9877900606494224e-08,-7.308644754957422e-08,-3.382104618346561e-08,-4.977713249915365e-08,-1.9877900606494224e-08,-7.308644754957422e-08
169.0,-3.405429824240668e-08,-6.594112840852547e-08,-2.0220378437492547e-08,-6.99902197344177e-08,,,,
170.0,-3.438008460755492e-08,-6.049022389614229e-08,-2.0566169597479046e-08,-1.4322860992115095e-07,-3.438008460755492e-08,-6.049022389614229e-08,-2.0566169597479046e-08,-1.4322860992115095e-07
171.0,-3.4724269263306396e-08,-3.559522105915583e-08,-2.1381129216145917e-08,1.473487783659325e-07,,,,
172.0,-3.4904480641696775e-08,-1.4569228304213653e-08,-2.0635132263090516e-08,5.654044813758542e-07,-3.4904480641696775e-08,-1.4569228304213653e-08,-2.0635132263090516e-08,5.654044813758542e-07
173.0,-3.4971258058584424e-08,-1.6557346258431745e-07,-1.8043625700449878e-08,-4.921521151088496e-07,,,,
174.0,-3.577296360546218e-08,-3.247684467828186e-07,-2.042662279691669e-08,-9.48397287995997e-07,-3.577296360546218e-08,-3.247684467828186e-07,-2.042662279691669e-08,-9.48397287995997e-07
175.0,-3.754843405652915e-08,-1.5555047586698324e-07,-2.5611397910968894e-08,-3.939497627797057e-08,,,,
